Nom,Organisation,Type de données,Lien officiel
"PTPD – Tableau programmes d'études Formation professionnelle (codes DEP-CIP, Québec)",Ministère de l'Enseignement supérieur du Québec,"Tableau officiel des programmes DEP/ASP admissibles au Programme de travail post-diplôme (PTPD) avec codes DEP (5xxx), noms de programmes et codes CIP fédéraux — table de correspondance DEP↔CIP",https://cdn-contenu.quebec.ca/cdn-contenu/enseignement-superieur/EtudierauQuebec/PTPD-tableau-programmes-etudes-FP.pdf
"PTPD – Tableau programmes d'études Collégial (codes DEC-CIP, Québec)",Ministère de l'Enseignement supérieur du Québec,"Tableau officiel des programmes DEC/AEC admissibles au PTPD avec codes DEC (xxx.A0), noms de programmes et codes CIP fédéraux — table de correspondance DEC↔CIP",https://cdn-contenu.quebec.ca/cdn-contenu/cdn-contenu/enseignement-superieur/EtudierauQuebec/PTPD-tableau-programmes-etudes-collegial.pdf
"Lightcast Open Skills Library (taxonomie compétences 32 000+, API freemium)",Lightcast (ex-Emsi Burning Glass),"Taxonomie de 32 000+ compétences standardisées extraites de centaines de millions d'offres d'emploi. Classifie hard skills, soft skills, certifications. Inclut compétences vertes et numériques. API RESTful OpenAPI disponible",https://lightcast.io/open-skills
QFrCoRE / QFrCoRT – Corpus québécois d'expressions régionales (Université Laval),GRAAL – Groupe de Recherche en Apprentissage Automatique de l'Université Laval,"Dataset annotés de 4 633 instances d'expressions idiomatiques et termes régionaux québécois. QFrCoRE pour phrases complètes, QFrCoRT pour mots isolés. Benchmark pour évaluer la compétence dialectale des LLMs en français québécois",https://huggingface.co/datasets/graalul/QFrCoRE_QFrCoRT
"EDTR – Enquête sur la dynamique du travail et du revenu (StatCan, 1993–2011, discontinuée)",Statistique Canada,Enquête longitudinale panels 6 ans sur la dynamique du travail et du revenu des ménages canadiens. Remplacée par l'Enquête canadienne sur le revenu (ECR) en 2012 et PLEMT pour les données couplées,https://www23.statcan.gc.ca/imdb/p2SV_f.pl?Function=getSurvey&SDDS=3889
LinkedIn Skill Assessments – Cartographie des 90+ compétences vérifiables,LinkedIn,"Catalogue des 90+ compétences évaluées par quiz chronométrés LinkedIn. Couvre compétences techniques (Python, JS, AWS, Git, Docker, SQL), business (Agile, SEO) et design. Badge 'compétence vérifiée' si top 30%",https://www.linkedin.com/skill-assessments/hub/quizzes/
Indeed Assessments – Catalogue des 100+ tests de compétences (Indeed),Indeed,"100+ tests de compétences : aptitudes cognitives (attention, pensée critique), compétences techniques (Office, programmation), sectorielles (comptabilité, santé) et soft skills. Données propriétaires, accès employeurs via plateforme",https://www.indeed.com/assessments
TalentNeuron (Gartner) – Intelligence marché du travail [probable sunset 2024],Gartner / CEB (acquis 2017),"Plateforme entreprise d'analytique marché du travail : analyse offres d'emploi, demande de compétences, benchmarking salarial, offre/demande de talents dans 150+ pays. Probablement en sunset par Gartner en 2024",https://www.gartner.com/en/human-resources/research/talentneuron
NASA GES DISC Skills Knowledge Graph (repos ESIPFed/eskg + Hughes/link-prediction),NASA / ESIPFed (Earth Science Information Partners),"Graphe de connaissances des compétences du personnel NASA (Goddard Earth Sciences). Modélise personnel, compétences extraites de CVs, projets IA/ML, grades. Architecture Python/Neo4j/Memgraph. Algorithmes : similarité cosinus, link prediction ML",https://github.com/ESIPFed/eskg | https://github.com/seanrhughes/NASA-GES-DISC-link-prediction
Encube – Ontologie non-hiérarchique des compétences [source à confirmer],Inconnu (possiblement LMIC-CIMT ou projet de recherche canadien),"Ontologie des compétences modélisant les relations entre compétences sous forme de réseau non-hiérarchique (graphe), permettant de capturer les relations transversales et la transférabilité — concept cité par LMIC-CIMT",https://lmic-cimt.ca/fr/ressources-imt/les-mots-du-boulot/competences/ [source de la mention]
KG4ESG – Knowledge Graph pour les critères ESG (compétences vertes/numériques),Auteurs académiques (preprint Preprints.org),"Graphe de connaissances modélisant les concepts ESG (Environnement, Social, Gouvernance) incluant les compétences vertes et numériques requises pour la conformité ESG et les rôles de transition",https://www.preprints.org/manuscript/7b307440818befad81ceab2a770a0435
,,,
OpenPsychometrics – IPIP-FFM Big Five Dataset (1M+ réponses),OpenPsychometrics.org (Open-Source Psychometrics Project),"1 015 342 réponses complètes aux 50 items IPIP Big Five Factor Markers, avec métadonnées démographiques (âge, genre, pays) et indicateurs de qualité (IPC, temps de réponse)",http://openpsychometrics.org/_rawdata/
OpenPsychometrics – RIASEC / Holland Dataset (146K réponses),OpenPsychometrics.org (Open-Source Psychometrics Project),"145 828 réponses complètes à un inventaire RIASEC de 48 items (Interest Item Pool, Liao, Armstrong & Rounds 2008), avec 30+ variables de personnalité et démographie",http://openpsychometrics.org/_rawdata/
"Mini-IPIP francophone – Adaptation canadienne-française (Laverdière et al., 2020)","Université de Sherbrooke / UQTR / Concordia / Laval (Laverdière, Gamache, Morin, Diguer)","Instrument 20 items mesurant les 5 domaines Big Five, validé sur 1 308 participants québécois francophones. Items publiés dans l'article de validation.",https://doi.org/10.1016/j.erap.2019.100411 ; PDF : http://cuprum.umontreal.ca/assets/files/MINI-IPIP.pdf
QFrCoLA – Quebec-French Corpus of Linguistic Acceptability (EMNLP 2025),"GRAIL, Université Laval (Beauchemin, Tremblay, Youssef, Khoury)","27 828 jugements d'acceptabilité grammaticale en français québécois (25 153 in-domain + 2 675 out-of-domain), labels binaires acceptable/inacceptable",https://github.com/GRAAL-Research/QFrCoLA ; Paper : https://arxiv.org/abs/2508.16867
"BFPTSQ – Big Five Personality Trait Short Questionnaire (Morizot, 2014, validation QC adolescents)",Université de Montréal (Julien Morizot),"Instrument 50 items Big Five validé auprès d'adolescents francophones du Québec. Couvre 5 domaines + facettes additionnelles (sensation-seeking, vulnérabilité, délibération).",https://doi.org/10.1177/1073191114524015 ; Validation cross-culturelle : https://doi.org/10.1371/journal.pone.0226223
GROP – Guide de Recherche d'une Orientation Professionnelle (Psymétrik / Septembre éditeur),Psymétrik / Septembre éditeur,"Instrument d'orientation professionnelle RIASEC adapté à la population francophone québécoise, avec normes locales. Versions papier et en ligne.",https://www.psymetrik.com/grop/
Corpus des débats de l'Assemblée Nationale du Québec (ParlaCLARIN),Assemblée Nationale du Québec / chercheurs (ParlaCLARIN 2022),"88 ans de débats parlementaires québécois (33+ milliards de mots). Riche en vocabulaire emploi, éducation, politique sociale, terminologie québécoise.",https://aclanthology.org/2022.parlaclarin-1.4/ ; Site AN : https://www.assnat.qc.ca/fr/travaux-parlementaires/journaux-debats.html
PTPD — Tableau programmes universitaires 20+ crédits (MEQ),Ministère de l'Éducation du Québec (MEQ),"Table officielle des programmes universitaires québécois avec codes CPE/CIP (6 chiffres) : code MES, nom du programme institutionnel, type de sanction, code CPE associé, domaine CPE — équivalent exact des tableaux PTPD DEC/DEP pour le niveau universitaire",https://cdn-contenu.quebec.ca/cdn-contenu/enseignement-superieur/EtudierauQuebec/PTPD-tableau-programmes-etudes-universitaire-20-credits.pdf
AFE Québec — Liste officielle des programmes universitaires reconnus,Ministère de l'Enseignement supérieur du Québec (MES) — Aide financière aux études,"Liste des programmes universitaires reconnus pour l'admissibilité à l'aide financière aux études, avec codes de programmes et établissements — couverture exhaustive de tous les programmes universitaires offerts au Québec",https://cdn-contenu.quebec.ca/cdn-contenu/enseignement-superieur/aide-financiere-etudes/fichiers-communs/programmes-etudes-universitaires.pdf
IRCC — Liste des codes CPE admissibles au PTPD (maintenue activement),"Immigration, Réfugiés et Citoyenneté Canada (IRCC)","Liste officielle des codes CPE/CIP admissibles au Permis de travail postdiplôme (PTPD), maintenue activement par IRCC — encode implicitement la correspondance CIP ↔ secteurs en demande de main-d'œuvre selon les priorités du marché du travail canadien",https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/after-graduation/eligibility/field-of-study/currently-eligible.html
NOC — Tables de concordance entre versions (EDSC),Emploi et Développement social Canada (EDSC),"Tables de concordance officielles entre les versions de la Classification nationale des professions : NOC 2016 ↔ NOC 2021, et vers NOC 2026 — essentiel pour mapper les données historiques LMI vers NOC 2021",https://noc.esdc.gc.ca/Versions/NOCConcordanceTables?GoCTemplateCulture=fr-CA
MFS↔CIP — Table de concordance (StatCan),Statistique Canada,Table de correspondance entre les anciens codes MFS (Major Field of Study / Grand domaine d'études) et les codes CIP/CPE actuels — pont pour les données StatCan historiques utilisant les codes MFS,https://www.statcan.gc.ca/en/subjects/standard/mfs/mfscip-concstat
🟡 Jaune = nouvelles sources  |  🟠 Orange = sources à vérifier/risque  |  🟢 Vert = mis à jour (v4 — rapport ingénierie + analyse LMIC),,,
